inning,is_top_inning,score_diff,is_runner_on_first,is_runner_on_second,is_runner_on_third,outs,home_win_prob,weighted_avg_li,freq
2,1,-9,0,1,0,0,0.0172098014884243,0.036738111596513,0
2,1,-9,0,1,0,1,0.0185856141064255,0.0418341468344636,2
2,1,-9,0,1,0,2,0.0198502290144291,0.0516528200625231,1
2,1,-9,0,1,1,0,0.0155691512641575,0.0305208663840309,0
2,1,-9,0,1,1,1,0.016702322189561,0.0680364480932745,0
2,1,-9,0,1,1,2,0.0195349461498272,0.0647423569575767,0
2,1,-2,0,1,0,0,0.251502639494598,0.987526577554207,39
2,1,-2,0,1,0,1,0.283126350388098,0.965591142622052,82
2,1,-2,0,1,0,2,0.30994098182164,0.951209663224553,145
2,1,-2,0,1,1,0,0.194599787214178,1.13714177195328,10
2,1,-2,0,1,1,1,0.233463332544225,1.47770131134214,31
2,1,-2,0,1,1,2,0.292322566189393,1.5932625144248,36
2,1,0,0,0,1,0,0.409169566377968,1.31582413517884,19
2,1,0,0,0,1,1,0.45053024718276,1.63834264668526,88
2,1,0,0,0,1,2,0.51227759230047,1.38084286103738,160
2,1,0,0,1,0,0,0.436842790535523,1.4022405153743,239
2,1,0,0,1,0,1,0.480291838923926,1.31786273163863,355
2,1,0,0,1,0,2,0.516454199941932,1.25047432039652,432
2,1,0,0,1,1,0,0.355759187884335,1.68028522447451,43
2,1,0,0,1,1,1,0.411725677801057,2.01761725382622,90
2,1,0,0,1,1,2,0.491134355621285,2.17329737584873,86
2,1,0,1,0,0,0,0.461005050832564,1.60629689399509,1159
2,1,0,1,0,0,1,0.496642101236093,1.2860089395694,1396
2,1,0,1,0,0,2,0.527116190712179,0.914618467369168,1257
2,1,0,1,0,1,0,0.373170964394102,1.6777990890174,59
2,1,0,1,0,1,1,0.430918179146335,2.05974305084221,148
2,1,0,1,0,1,2,0.4983973798631,1.87716067915353,182
2,1,0,1,1,0,0,0.403517799016626,2.12058244853625,243
2,1,0,1,1,0,1,0.457944722830849,2.00425335798998,387
2,1,0,1,1,0,2,0.504475839109425,1.72304124974156,435
2,1,0,1,1,1,0,0.327265022193659,2.26046031611168,59
2,1,0,1,1,1,1,0.394146638565798,2.70637682803261,110
2,1,0,1,1,1,2,0.471408658490597,3.09393985219906,117
2,1,1,0,0,0,0,0.605535176405488,0.977758631413171,1320
2,1,1,0,0,0,1,0.629872030025175,0.694905200652951,930
2,1,1,0,0,0,2,0.647088036081331,0.434920191650186,740
2,1,1,0,0,1,0,0.513480560665386,1.42187337734176,3
2,1,1,0,0,1,1,0.556938096792162,1.6607115721323,25
2,1,1,0,0,1,2,0.619131249147019,1.38732441544268,45
2,1,1,0,1,0,0,0.540536287295682,1.50034230240155,65
2,1,1,0,1,0,1,0.585917784548246,1.36862480142613,93
2,1,1,0,1,0,2,0.623142303171892,1.2618199287417,109
2,1,1,0,1,1,0,0.45370637601905,1.84934713907692,8
2,1,1,0,1,1,1,0.514140046115967,2.10703048762884,27
2,1,1,0,1,1,2,0.595937726718319,2.25410841114256,25
2,1,1,1,0,0,0,0.564326844475353,1.69578770510821,307
2,1,1,1,0,0,1,0.601853742217094,1.33759161091825,336
2,1,1,1,0,0,2,0.633460658761907,0.934858863972293,362
2,1,8,0,1,1,0,0.93940936027448,0.575825387124742,0
2,1,8,0,1,1,1,0.955195045276207,0.472576144645088,0
2,1,8,0,1,1,2,0.970421700840621,0.400272509920275,0
2,1,10,0,0,1,0,0.98187124004879,0.158997321027962,0
2,1,10,0,0,1,1,0.985787792345164,0.110769192702275,0
2,1,10,0,0,1,2,0.989386195618379,0.0720416946243823,0
